issueNumber,repository,title,state,projectStatus,auditBucket,auditConfidence,suggestedOwnerArea,needsHumanReview,labels,assignees,milestone,suggestedAction,auditReason,codeSearchTerms,issueUrl
77,AV-EFI/AVefi-Issues,PID-03: PID eines Film-Metadatensatzes auflösen (Resolve aus Handle-System),OPEN,,domain_logic_needed,medium,Product/domain decision,true,UserStory; Epic:PID-Verwaltung; Backend; Technical-Blocker,EOltmanns,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing project status. Missing milestone.,pid-03; film-metadatensatzes; auflösen; resolve; handle-system; userstory; pid-verwaltung; backend; technical-blocker,https://github.com/AV-EFI/AVefi-Issues/issues/77
78,AV-EFI/AVefi-Issues,PID-04: Versionierung für PID-bezogene Metadatensätze definieren,OPEN,,domain_logic_needed,medium,Product/domain decision,true,UserStory; Epic:PID-Verwaltung; Backend; UNSCHARF,EOltmanns,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing project status. Missing milestone.,pid-04; versionierung; pid-bezogene; metadatensätze; definieren; userstory; pid-verwaltung; backend; unscharf,https://github.com/AV-EFI/AVefi-Issues/issues/78
79,AV-EFI/AVefi-Issues,PID-05: Dublettenprüfung über PID implementieren,OPEN,,duplicate_candidate,medium,Product/domain decision,true,UserStory; Epic:PID-Verwaltung; Backend; UNSCHARF,EOltmanns,,Find and link likely canonical issue before closing or merging.,"Duplicate/dublette signal found in title, body, or labels. Missing project status. Missing milestone.",pid-05; dublettenprüfung; implementieren; userstory; pid-verwaltung; backend; unscharf,https://github.com/AV-EFI/AVefi-Issues/issues/79
86,AV-EFI/AVefi-Issues,MI-06: Tektonische Übersicht von Manifestationen und Items anzeigen,OPEN,,domain_logic_needed,medium,Product/domain decision,true,UserStory; UNSCHARF; Epic:ManifestationItem,tennismann3000; C-Stemmler,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing project status. Missing milestone.,mi-06; tektonische; übersicht; manifestationen; items; anzeigen; userstory; unscharf; manifestationitem,https://github.com/AV-EFI/AVefi-Issues/issues/86
90,AV-EFI/AVefi-Issues,FI-04: Konflikte oder unklare Identifikatoren anzeigen,CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,SHOULDHAVE; UserStory; UNSCHARF; Frontend; Epic:Filmidentifikatoren,EOltmanns,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,fi-04; konflikte; unklare; identifikatoren; anzeigen; shouldhave; userstory; unscharf; frontend; filmidentifikatoren,https://github.com/AV-EFI/AVefi-Issues/issues/90
91,AV-EFI/AVefi-Issues,FI-03: Identifikatoren bearbeiten und verwalten (Redaktionssystem),OPEN,,domain_logic_needed,medium,Product/domain decision,true,B L O C K E D; SHOULDHAVE; UserStory; Backend; Epic:Filmidentifikatoren,EOltmanns,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing project status. Missing milestone.,fi-03; identifikatoren; bearbeiten; verwalten; redaktionssystem; shouldhave; userstory; backend; filmidentifikatoren,https://github.com/AV-EFI/AVefi-Issues/issues/91
156,AV-EFI/AVefi-Issues,SEARCH-08: Experten Modus und Einfachen Modus anbieten,OPEN,,backend_or_data_needed,medium,Backend/API/indexing,true,UserStory; UNSCHARF; Search; Frontend,steffolino,,Assign backend/data owner or confirm frontend dependency.,"Backend, data, API, indexing, or schema terminology detected. Missing project status. Missing milestone.",search-08; experten; modus; einfachen; anbieten; userstory; unscharf; search; frontend,https://github.com/AV-EFI/AVefi-Issues/issues/156
157,AV-EFI/AVefi-Issues,SEO-01: Als Google- oder KI-Nutzer möchte ich gerne die Informationen von AVefi verfügbar haben,CLOSED,Done,implemented_candidate,medium,Backend/API/indexing,true,,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone. Missing labels.,seo-01; google-; ki-nutzer; gerne; informationen; avefi; verfügbar; haben,https://github.com/AV-EFI/AVefi-Issues/issues/157
158,AV-EFI/AVefi-Issues,SEO-02: Content für SEO optimieren,OPEN,Backlog,backend_or_data_needed,medium,Backend/API/indexing,true,MUSTHAVE; UserStory; SEO,tennismann3000,Public Release,Assign backend/data owner or confirm frontend dependency.,"Backend, data, API, indexing, or schema terminology detected.",seo-02; content; optimieren; musthave; userstory,https://github.com/AV-EFI/AVefi-Issues/issues/158
152,AV-EFI/AVefi-Issues,DQ-10: Größe des Datenbestands,OPEN,Backlog,domain_logic_needed,medium,Product/domain decision,true,SHOULDHAVE; UNSCHARF; Datenqualität,EOltmanns; tennismann3000; matti-stoehr,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing milestone.,dq-10; größe; datenbestands; shouldhave; unscharf; datenqualität,https://github.com/AV-EFI/AVefi-Issues/issues/152
161,AV-EFI/AVefi-Issues,"DQ-11: Schema-Anpassungen (TIB, HDF)",OPEN,,domain_logic_needed,medium,Product/domain decision,true,MUSTHAVE; Filmidentifikatorenansicht & Redaktionssystem; UserStory,EOltmanns; tennismann3000,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing project status. Missing milestone.,dq-11; schema-anpassungen; musthave; filmidentifikatorenansicht; redaktionssystem; userstory,https://github.com/AV-EFI/AVefi-Issues/issues/161
164,AV-EFI/AVefi-Issues,ANALYTICS-01: Matomo Analytics in AVefi integrieren,CLOSED,Done,implemented_candidate,medium,Backend/API/indexing,true,SHOULDHAVE; Hilfe Feedback Kommunikation; Allgemein Rechtlich Pflicht,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,analytics-01; matomo; analytics; avefi; integrieren; shouldhave; hilfe; feedback; kommunikation; allgemein,https://github.com/AV-EFI/AVefi-Issues/issues/164
166,AV-EFI/AVefi-Issues,"INT-EPIC: Improve user interaction (collections, dataset-quality feedback, annotations)",CLOSED,Done,implemented_candidate,medium,Frontend/UI,true,UNSCHARF,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,int-epic; improve; interaction; collections; dataset-quality; feedback; annotations; unscharf,https://github.com/AV-EFI/AVefi-Issues/issues/166
169,AV-EFI/AVefi-Issues,SEARCH-11: Clickable facets & entity names,OPEN,Backlog,frontend_work,medium,Frontend/UI,false,SHOULDHAVE; Filmrecherche,steffolino; tennismann3000; C-Stemmler,,Cross-check frontend implementation and decide whether work remains.,Frontend/UI terminology or frontend repository detected. Missing milestone.,search-11; clickable; facets; entity; names; shouldhave; filmrecherche,https://github.com/AV-EFI/AVefi-Issues/issues/169
170,AV-EFI/AVefi-Issues,NORM-01: Normdatenaustausch – Übersicht zu Schlagworten & Genres (PoC → Produktivfeature),OPEN,In Progress,domain_logic_needed,medium,Product/domain decision,true,Datenqualität,steffolino; EOltmanns; tennismann3000,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing milestone.,norm-01; normdatenaustausch; übersicht; schlagworten; genres; produktivfeature; datenqualität,https://github.com/AV-EFI/AVefi-Issues/issues/170
188,AV-EFI/AVefi-Issues,CODEQUAL-01: Automatisierte Tests im Frontend implementieren,CLOSED,Done,implemented_candidate,medium,Accessibility/QA,true,UserStory; Technical-Blocker; Frontend,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,codequal-01; automatisierte; tests; frontend; implementieren; userstory; technical-blocker,https://github.com/AV-EFI/AVefi-Issues/issues/188
171,AV-EFI/AVefi-Issues,CONTENT-02: FAQ (DE / ENG),OPEN,,frontend_work,medium,Frontend/UI,false,MUSTHAVE,JStratil; tennismann3000,Public Release,Cross-check frontend implementation and decide whether work remains.,Frontend/UI terminology or frontend repository detected. Missing project status.,content-02; musthave,https://github.com/AV-EFI/AVefi-Issues/issues/171
173,AV-EFI/AVefi-Issues,UX-01: Update AVefi Projekt Website UX,CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,Hilfe Feedback Kommunikation,matti-stoehr,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,ux-01; update; avefi; projekt; website; hilfe; feedback; kommunikation,https://github.com/AV-EFI/AVefi-Issues/issues/173
178,AV-EFI/AVefi-Issues,Content-03: Update Projektseite für Public Release,CLOSED,Done,implemented_candidate,medium,Frontend/UI,true,,JStratil; matti-stoehr,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone. Missing labels.,content-03; update; projektseite; public; release,https://github.com/AV-EFI/AVefi-Issues/issues/178
155,AV-EFI/AVefi-Issues,SEARCH-07: Fuzzy Search funktioniert wie erwartet,OPEN,,backend_or_data_needed,medium,Backend/API/indexing,true,MUSTHAVE; Backend; Search,JStratil; EOltmanns,Public Release,Assign backend/data owner or confirm frontend dependency.,"Backend, data, API, indexing, or schema terminology detected. Missing project status.",search-07; fuzzy; search; funktioniert; erwartet; musthave; backend,https://github.com/AV-EFI/AVefi-Issues/issues/155
187,AV-EFI/AVefi-Issues,PLATFORM-01: Wartungshinweis bei Service-Unterbrechung anzeigen,OPEN,Backlog,frontend_work,medium,Frontend/UI,false,SHOULDHAVE; Hilfe Feedback Kommunikation; UserStory; Frontend,steffolino; JStratil,,Cross-check frontend implementation and decide whether work remains.,Frontend/UI terminology or frontend repository detected. Missing milestone.,platform-01; wartungshinweis; service-unterbrechung; anzeigen; shouldhave; hilfe; feedback; kommunikation; userstory; frontend,https://github.com/AV-EFI/AVefi-Issues/issues/187
174,AV-EFI/AVefi-Issues,EFI-01: EFI-Label im Frontend sichtbarer machen,CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,SHOULDHAVE,steffolino; EOltmanns,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,efi-01; efi-label; frontend; sichtbarer; machen; shouldhave,https://github.com/AV-EFI/AVefi-Issues/issues/174
81,AV-EFI/AVefi-Issues,MI-02: Items müssen gefiltert und konsistent zur Manifestation angezeigt werden,OPEN,,domain_logic_needed,medium,Product/domain decision,true,UserStory; Technical-Blocker; Epic:ManifestationItem; Search,tennismann3000; C-Stemmler,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing project status. Missing milestone.,mi-02; items; müssen; gefiltert; konsistent; manifestation; angezeigt; werden; userstory; technical-blocker,https://github.com/AV-EFI/AVefi-Issues/issues/81
199,AV-EFI/AVefi-Issues,GOV-01: Improve Accessibility and Quality of Metadata Group Documentation,CLOSED,Done,implemented_candidate,medium,Backend/API/indexing,true,,steffolino; JStratil,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone. Missing labels.,gov-01; improve; accessibility; quality; metadata; group; documentation,https://github.com/AV-EFI/AVefi-Issues/issues/199
201,AV-EFI/AVefi-Issues,"Verlinkung von ""Hermann Schlenker bei AVefi"" im Carousel",OPEN,,frontend_work,medium,Frontend/UI,false,,steffolino; JStratil,,Cross-check frontend implementation and decide whether work remains.,Frontend/UI terminology or frontend repository detected. Missing project status. Missing milestone. Missing labels.,verlinkung; hermann; schlenker; avefi; carousel,https://github.com/AV-EFI/AVefi-Issues/issues/201
202,AV-EFI/AVefi-Issues,BUG: Duplikate Schlagworte in Datensätzen,OPEN,,domain_logic_needed,medium,Product/domain decision,true,bug,EOltmanns,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing project status. Missing milestone.,duplikate; schlagworte; datensätzen,https://github.com/AV-EFI/AVefi-Issues/issues/202
206,AV-EFI/AVefi-Issues,LEGAL-01: Lizenzen für Repos in gitlab und github,OPEN,,qa_or_acceptance_needed,medium,Accessibility/QA,true,Allgemein Rechtlich Pflicht; Epic:Lizenzen,steffolino; EOltmanns,,Add verification criteria or test coverage expectations.,QA/test/accessibility terminology detected. Missing project status. Missing milestone.,legal-01; lizenzen; repos; gitlab; github; allgemein; rechtlich; pflicht,https://github.com/AV-EFI/AVefi-Issues/issues/206
208,AV-EFI/AVefi-Issues,BUG: Anzeige leerer Auswahlmöglichkeiten im Menü für Daten-Export,CLOSED,Done,implemented_candidate,medium,Backend/API/indexing,true,bug,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,anzeige; leerer; auswahlmöglichkeiten; daten-export,https://github.com/AV-EFI/AVefi-Issues/issues/208
182,AV-EFI/AVefi-Issues,Highlighting / Scrolldown funktioniert nicht bei Auflösen eines PIDs,OPEN,,domain_logic_needed,medium,Product/domain decision,true,bug; MUSTHAVE; Frontend,EOltmanns; tennismann3000,Public Release,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing project status.,highlighting; scrolldown; funktioniert; nicht; auflösen; musthave; frontend,https://github.com/AV-EFI/AVefi-Issues/issues/182
194,AV-EFI/AVefi-Issues,BUG: Kübelkind Exemplar Auflösung fkt nicht,OPEN,,domain_logic_needed,medium,Product/domain decision,true,bug,JStratil; tennismann3000,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing project status. Missing milestone.,kübelkind; exemplar; auflösung; nicht,https://github.com/AV-EFI/AVefi-Issues/issues/194
203,AV-EFI/AVefi-Issues,BUG: Suchvorschläge in erweiterter Suche referenzieren englische Begriffe,CLOSED,Done,implemented_candidate,medium,Frontend/UI,true,bug,tennismann3000,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,suchvorschläge; erweiterter; suche; referenzieren; englische; begriffe,https://github.com/AV-EFI/AVefi-Issues/issues/203
207,AV-EFI/AVefi-Issues,BUG: Fehlerhafte Zuordnung der Normdaten-IDs,OPEN,,domain_logic_needed,medium,Product/domain decision,true,bug,tennismann3000,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing project status. Missing milestone.,fehlerhafte; zuordnung; normdaten-ids,https://github.com/AV-EFI/AVefi-Issues/issues/207
218,AV-EFI/AVefi-Issues,SEARCH-01: Facet result count must always match returned hits,CLOSED,Done,implemented_candidate,medium,Accessibility/QA,true,MUSTHAVE; UserStory; Technical-Blocker; Search,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,search-01; facet; result; count; always; match; returned; musthave; userstory; technical-blocker,https://github.com/AV-EFI/AVefi-Issues/issues/218
